"","36000","360000","3600000"
"1",137,1469,14902
"2",160,1565,14882
"3",167,1587,15011
"4",134,1491,14896
"5",111,1440,14667
"6",147,1487,14788
"7",167,1469,15062
"8",125,1525,15296
"9",131,1516,15214
"10",117,1458,15008
"11",145,1459,14731
"12",149,1499,14904
"13",121,1521,15065
"14",127,1358,14635
"15",118,1566,14904
"16",123,1442,14893
"17",127,1443,14829
"18",118,1464,14922
"19",123,1518,15152
"20",154,1504,15202
"21",142,1545,14827
"22",156,1493,15016
"23",138,1538,15105
"24",130,1516,15030
"25",168,1610,15062
"26",157,1528,14984
"27",115,1479,14794
"28",154,1573,15213
"29",168,1481,14991
"30",135,1491,15039
"31",134,1355,15095
"32",152,1359,14988
"33",145,1429,15075
"34",125,1480,14846
"35",121,1497,14848
"36",138,1477,14967
"37",136,1474,15185
"38",159,1489,14972
"39",146,1561,14830
"40",136,1462,14886
"41",134,1373,15057
"42",119,1450,15002
"43",135,1466,15046
"44",131,1522,14978
"45",162,1408,14882
"46",100,1566,14850
"47",143,1494,15203
"48",159,1504,14860
"49",155,1577,15372
"50",148,1505,15115
"51",133,1486,15046
"52",145,1451,14851
"53",148,1466,15237
"54",147,1440,14533
"55",106,1543,14998
"56",147,1606,14612
"57",105,1467,15140
"58",139,1531,14891
"59",160,1475,14993
"60",129,1489,14813
"61",154,1530,15074
"62",135,1491,15151
"63",132,1437,14902
"64",163,1445,14981
"65",165,1399,14890
"66",143,1499,14899
"67",148,1434,15234
"68",153,1493,14879
"69",150,1558,15256
"70",132,1402,14915
"71",141,1478,15238
"72",162,1450,15167
"73",134,1537,15302
"74",152,1411,14814
"75",158,1465,14730
"76",136,1504,14807
"77",185,1518,15029
"78",131,1470,15056
"79",142,1620,15006
"80",148,1457,14861
"81",153,1536,15175
"82",150,1540,15069
"83",144,1609,14679
"84",131,1439,14731
"85",126,1493,14906
"86",146,1483,15073
"87",133,1496,15057
"88",140,1427,14774
"89",127,1565,15086
"90",137,1502,14921
"91",112,1517,15065
"92",146,1533,15051
"93",143,1496,14676
"94",161,1501,14804
"95",155,1434,14818
"96",138,1515,15077
"97",116,1481,14943
"98",132,1471,15212
"99",132,1504,14825
"100",150,1476,15005
"101",135,1488,14770
"102",152,1410,15052
"103",144,1555,15021
"104",165,1584,15087
"105",142,1504,15230
"106",135,1503,14885
"107",128,1442,15044
"108",163,1544,14784
"109",138,1506,15040
"110",136,1441,14842
"111",137,1490,15092
"112",131,1474,14892
"113",163,1475,15347
"114",130,1491,15141
"115",164,1486,15031
"116",163,1492,14811
"117",126,1542,14969
"118",122,1389,15033
"119",144,1462,14886
"120",163,1448,15212
"121",141,1443,15120
"122",149,1546,15056
"123",123,1550,15167
"124",129,1534,15204
"125",148,1379,14907
"126",163,1490,14995
"127",131,1460,15264
"128",156,1479,15202
"129",145,1362,15248
"130",134,1581,15206
"131",138,1498,14977
"132",118,1455,15016
"133",145,1457,14806
"134",132,1565,15118
"135",141,1570,14929
"136",137,1517,15096
"137",147,1531,15132
"138",128,1437,15061
"139",141,1452,14900
"140",149,1480,15035
"141",124,1435,15122
"142",141,1507,15090
"143",172,1527,15116
"144",161,1461,14964
"145",151,1458,15040
"146",138,1482,14977
"147",156,1435,14572
"148",138,1528,15096
"149",120,1413,15247
"150",137,1432,15119
"151",147,1522,14529
"152",148,1521,15046
"153",128,1560,14977
"154",159,1463,15045
"155",128,1467,14926
"156",184,1547,15299
"157",156,1554,15177
"158",131,1460,14951
"159",157,1503,14988
"160",143,1457,14810
"161",126,1411,14905
"162",143,1471,14978
"163",141,1497,15040
"164",149,1554,15114
"165",144,1481,14944
"166",120,1516,14782
"167",171,1553,14959
"168",144,1585,14923
"169",114,1496,14813
"170",144,1473,15118
"171",159,1480,15051
"172",140,1439,14926
"173",144,1476,14833
"174",114,1509,14954
"175",158,1444,14939
"176",133,1502,15086
"177",136,1463,15084
"178",125,1452,14863
"179",136,1400,14908
"180",136,1580,15001
"181",169,1567,15009
"182",134,1531,15022
"183",115,1457,14913
"184",139,1420,15213
"185",151,1494,14898
"186",142,1422,15058
"187",149,1513,14966
"188",135,1488,14906
"189",137,1476,15089
"190",113,1412,14959
"191",129,1531,14870
"192",132,1423,14933
"193",139,1544,14793
"194",137,1481,15167
"195",131,1457,15199
"196",156,1418,15169
"197",149,1504,14979
"198",149,1424,14874
"199",148,1565,14970
"200",176,1617,15045
